areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,01/10/2021,38
K02000001,United Kingdom,overview,30/09/2021,66
K02000001,United Kingdom,overview,29/09/2021,86
K02000001,United Kingdom,overview,28/09/2021,87
K02000001,United Kingdom,overview,27/09/2021,103
K02000001,United Kingdom,overview,26/09/2021,84
K02000001,United Kingdom,overview,25/09/2021,109
K02000001,United Kingdom,overview,24/09/2021,116
K02000001,United Kingdom,overview,23/09/2021,134
K02000001,United Kingdom,overview,22/09/2021,141
K02000001,United Kingdom,overview,21/09/2021,121
K02000001,United Kingdom,overview,20/09/2021,133
K02000001,United Kingdom,overview,19/09/2021,123
K02000001,United Kingdom,overview,18/09/2021,120
K02000001,United Kingdom,overview,17/09/2021,167
K02000001,United Kingdom,overview,16/09/2021,149
K02000001,United Kingdom,overview,15/09/2021,140
K02000001,United Kingdom,overview,14/09/2021,153
K02000001,United Kingdom,overview,13/09/2021,110
K02000001,United Kingdom,overview,12/09/2021,138
K02000001,United Kingdom,overview,11/09/2021,135
K02000001,United Kingdom,overview,10/09/2021,143
K02000001,United Kingdom,overview,09/09/2021,162
K02000001,United Kingdom,overview,08/09/2021,138
K02000001,United Kingdom,overview,07/09/2021,154
K02000001,United Kingdom,overview,06/09/2021,137
K02000001,United Kingdom,overview,05/09/2021,154
K02000001,United Kingdom,overview,04/09/2021,133
K02000001,United Kingdom,overview,03/09/2021,146
K02000001,United Kingdom,overview,02/09/2021,127
K02000001,United Kingdom,overview,01/09/2021,116
K02000001,United Kingdom,overview,31/08/2021,115
K02000001,United Kingdom,overview,30/08/2021,105
K02000001,United Kingdom,overview,29/08/2021,128
K02000001,United Kingdom,overview,28/08/2021,122
K02000001,United Kingdom,overview,27/08/2021,127
K02000001,United Kingdom,overview,26/08/2021,116
K02000001,United Kingdom,overview,25/08/2021,100
K02000001,United Kingdom,overview,24/08/2021,113
K02000001,United Kingdom,overview,23/08/2021,113
K02000001,United Kingdom,overview,22/08/2021,116
K02000001,United Kingdom,overview,21/08/2021,104
K02000001,United Kingdom,overview,20/08/2021,117
K02000001,United Kingdom,overview,19/08/2021,107
K02000001,United Kingdom,overview,18/08/2021,98
K02000001,United Kingdom,overview,17/08/2021,106
K02000001,United Kingdom,overview,16/08/2021,78
K02000001,United Kingdom,overview,15/08/2021,84
K02000001,United Kingdom,overview,14/08/2021,93
K02000001,United Kingdom,overview,13/08/2021,104
K02000001,United Kingdom,overview,12/08/2021,105
K02000001,United Kingdom,overview,11/08/2021,87
K02000001,United Kingdom,overview,10/08/2021,81
K02000001,United Kingdom,overview,09/08/2021,79
K02000001,United Kingdom,overview,08/08/2021,79
K02000001,United Kingdom,overview,07/08/2021,95
K02000001,United Kingdom,overview,06/08/2021,93
K02000001,United Kingdom,overview,05/08/2021,99
K02000001,United Kingdom,overview,04/08/2021,79
K02000001,United Kingdom,overview,03/08/2021,74
K02000001,United Kingdom,overview,02/08/2021,79
K02000001,United Kingdom,overview,01/08/2021,93
K02000001,United Kingdom,overview,31/07/2021,89
K02000001,United Kingdom,overview,30/07/2021,105
K02000001,United Kingdom,overview,29/07/2021,77
K02000001,United Kingdom,overview,28/07/2021,86
K02000001,United Kingdom,overview,27/07/2021,73
K02000001,United Kingdom,overview,26/07/2021,74
K02000001,United Kingdom,overview,25/07/2021,71
K02000001,United Kingdom,overview,24/07/2021,71
K02000001,United Kingdom,overview,23/07/2021,81
K02000001,United Kingdom,overview,22/07/2021,76
K02000001,United Kingdom,overview,21/07/2021,54
K02000001,United Kingdom,overview,20/07/2021,58
K02000001,United Kingdom,overview,19/07/2021,83
K02000001,United Kingdom,overview,18/07/2021,66
K02000001,United Kingdom,overview,17/07/2021,52
K02000001,United Kingdom,overview,16/07/2021,50
K02000001,United Kingdom,overview,15/07/2021,52
K02000001,United Kingdom,overview,14/07/2021,42
K02000001,United Kingdom,overview,13/07/2021,49
K02000001,United Kingdom,overview,12/07/2021,39
K02000001,United Kingdom,overview,11/07/2021,33
K02000001,United Kingdom,overview,10/07/2021,42
K02000001,United Kingdom,overview,09/07/2021,47
K02000001,United Kingdom,overview,08/07/2021,38
K02000001,United Kingdom,overview,07/07/2021,28
K02000001,United Kingdom,overview,06/07/2021,32
K02000001,United Kingdom,overview,05/07/2021,28
K02000001,United Kingdom,overview,04/07/2021,28
K02000001,United Kingdom,overview,03/07/2021,28
K02000001,United Kingdom,overview,02/07/2021,27
K02000001,United Kingdom,overview,01/07/2021,21
K02000001,United Kingdom,overview,30/06/2021,21
K02000001,United Kingdom,overview,29/06/2021,23
K02000001,United Kingdom,overview,28/06/2021,12
K02000001,United Kingdom,overview,27/06/2021,20
K02000001,United Kingdom,overview,26/06/2021,17
K02000001,United Kingdom,overview,25/06/2021,20
K02000001,United Kingdom,overview,24/06/2021,21
K02000001,United Kingdom,overview,23/06/2021,7
K02000001,United Kingdom,overview,22/06/2021,13
K02000001,United Kingdom,overview,21/06/2021,16
K02000001,United Kingdom,overview,20/06/2021,23
K02000001,United Kingdom,overview,19/06/2021,22
K02000001,United Kingdom,overview,18/06/2021,13
K02000001,United Kingdom,overview,17/06/2021,6
K02000001,United Kingdom,overview,16/06/2021,11
K02000001,United Kingdom,overview,15/06/2021,19
K02000001,United Kingdom,overview,14/06/2021,9
K02000001,United Kingdom,overview,13/06/2021,10
K02000001,United Kingdom,overview,12/06/2021,13
K02000001,United Kingdom,overview,11/06/2021,6
K02000001,United Kingdom,overview,10/06/2021,11
K02000001,United Kingdom,overview,09/06/2021,7
K02000001,United Kingdom,overview,08/06/2021,8
K02000001,United Kingdom,overview,07/06/2021,5
K02000001,United Kingdom,overview,06/06/2021,6
K02000001,United Kingdom,overview,05/06/2021,5
K02000001,United Kingdom,overview,04/06/2021,9
K02000001,United Kingdom,overview,03/06/2021,12
K02000001,United Kingdom,overview,02/06/2021,10
K02000001,United Kingdom,overview,01/06/2021,4
K02000001,United Kingdom,overview,31/05/2021,7
K02000001,United Kingdom,overview,30/05/2021,8
K02000001,United Kingdom,overview,29/05/2021,7
K02000001,United Kingdom,overview,28/05/2021,8
K02000001,United Kingdom,overview,27/05/2021,8
K02000001,United Kingdom,overview,26/05/2021,11
K02000001,United Kingdom,overview,25/05/2021,4
K02000001,United Kingdom,overview,24/05/2021,9
K02000001,United Kingdom,overview,23/05/2021,7
K02000001,United Kingdom,overview,22/05/2021,4
K02000001,United Kingdom,overview,21/05/2021,7
K02000001,United Kingdom,overview,20/05/2021,5
K02000001,United Kingdom,overview,19/05/2021,5
K02000001,United Kingdom,overview,18/05/2021,6
K02000001,United Kingdom,overview,17/05/2021,7
K02000001,United Kingdom,overview,16/05/2021,8
K02000001,United Kingdom,overview,15/05/2021,7
K02000001,United Kingdom,overview,14/05/2021,6
K02000001,United Kingdom,overview,13/05/2021,5
K02000001,United Kingdom,overview,12/05/2021,11
K02000001,United Kingdom,overview,11/05/2021,14
K02000001,United Kingdom,overview,10/05/2021,8
K02000001,United Kingdom,overview,09/05/2021,9
K02000001,United Kingdom,overview,08/05/2021,8
K02000001,United Kingdom,overview,07/05/2021,10
K02000001,United Kingdom,overview,06/05/2021,10
K02000001,United Kingdom,overview,05/05/2021,12
K02000001,United Kingdom,overview,04/05/2021,10
K02000001,United Kingdom,overview,03/05/2021,8
K02000001,United Kingdom,overview,02/05/2021,12
K02000001,United Kingdom,overview,01/05/2021,8
K02000001,United Kingdom,overview,30/04/2021,8
K02000001,United Kingdom,overview,29/04/2021,13
K02000001,United Kingdom,overview,28/04/2021,14
K02000001,United Kingdom,overview,27/04/2021,12
K02000001,United Kingdom,overview,26/04/2021,12
K02000001,United Kingdom,overview,25/04/2021,15
K02000001,United Kingdom,overview,24/04/2021,8
K02000001,United Kingdom,overview,23/04/2021,21
K02000001,United Kingdom,overview,22/04/2021,16
K02000001,United Kingdom,overview,21/04/2021,24
K02000001,United Kingdom,overview,20/04/2021,19
K02000001,United Kingdom,overview,19/04/2021,18
K02000001,United Kingdom,overview,18/04/2021,17
K02000001,United Kingdom,overview,17/04/2021,22
K02000001,United Kingdom,overview,16/04/2021,17
K02000001,United Kingdom,overview,15/04/2021,21
K02000001,United Kingdom,overview,14/04/2021,17
K02000001,United Kingdom,overview,13/04/2021,20
K02000001,United Kingdom,overview,12/04/2021,27
K02000001,United Kingdom,overview,11/04/2021,22
K02000001,United Kingdom,overview,10/04/2021,24
K02000001,United Kingdom,overview,09/04/2021,23
K02000001,United Kingdom,overview,08/04/2021,35
K02000001,United Kingdom,overview,07/04/2021,29
K02000001,United Kingdom,overview,06/04/2021,28
K02000001,United Kingdom,overview,05/04/2021,17
K02000001,United Kingdom,overview,04/04/2021,26
K02000001,United Kingdom,overview,03/04/2021,31
K02000001,United Kingdom,overview,02/04/2021,28
K02000001,United Kingdom,overview,01/04/2021,31
K02000001,United Kingdom,overview,31/03/2021,38
K02000001,United Kingdom,overview,30/03/2021,43
K02000001,United Kingdom,overview,29/03/2021,35
K02000001,United Kingdom,overview,28/03/2021,34
K02000001,United Kingdom,overview,27/03/2021,36
K02000001,United Kingdom,overview,26/03/2021,48
K02000001,United Kingdom,overview,25/03/2021,45
K02000001,United Kingdom,overview,24/03/2021,40
K02000001,United Kingdom,overview,23/03/2021,50
K02000001,United Kingdom,overview,22/03/2021,65
K02000001,United Kingdom,overview,21/03/2021,80
K02000001,United Kingdom,overview,20/03/2021,64
K02000001,United Kingdom,overview,19/03/2021,70
K02000001,United Kingdom,overview,18/03/2021,58
K02000001,United Kingdom,overview,17/03/2021,79
K02000001,United Kingdom,overview,16/03/2021,80
K02000001,United Kingdom,overview,15/03/2021,91
K02000001,United Kingdom,overview,14/03/2021,94
K02000001,United Kingdom,overview,13/03/2021,107
K02000001,United Kingdom,overview,12/03/2021,92
K02000001,United Kingdom,overview,11/03/2021,121
K02000001,United Kingdom,overview,10/03/2021,116
K02000001,United Kingdom,overview,09/03/2021,133
K02000001,United Kingdom,overview,08/03/2021,143
K02000001,United Kingdom,overview,07/03/2021,131
K02000001,United Kingdom,overview,06/03/2021,153
K02000001,United Kingdom,overview,05/03/2021,169
K02000001,United Kingdom,overview,04/03/2021,153
K02000001,United Kingdom,overview,03/03/2021,147
K02000001,United Kingdom,overview,02/03/2021,182
K02000001,United Kingdom,overview,01/03/2021,225
K02000001,United Kingdom,overview,28/02/2021,212
K02000001,United Kingdom,overview,27/02/2021,229
K02000001,United Kingdom,overview,26/02/2021,226
K02000001,United Kingdom,overview,25/02/2021,259
K02000001,United Kingdom,overview,24/02/2021,274
K02000001,United Kingdom,overview,23/02/2021,287
K02000001,United Kingdom,overview,22/02/2021,281
K02000001,United Kingdom,overview,21/02/2021,325
K02000001,United Kingdom,overview,20/02/2021,349
K02000001,United Kingdom,overview,19/02/2021,381
K02000001,United Kingdom,overview,18/02/2021,416
K02000001,United Kingdom,overview,17/02/2021,430
K02000001,United Kingdom,overview,16/02/2021,445
K02000001,United Kingdom,overview,15/02/2021,518
K02000001,United Kingdom,overview,14/02/2021,493
K02000001,United Kingdom,overview,13/02/2021,490
K02000001,United Kingdom,overview,12/02/2021,527
K02000001,United Kingdom,overview,11/02/2021,571
K02000001,United Kingdom,overview,10/02/2021,607
K02000001,United Kingdom,overview,09/02/2021,607
K02000001,United Kingdom,overview,08/02/2021,676
K02000001,United Kingdom,overview,07/02/2021,635
K02000001,United Kingdom,overview,06/02/2021,699
K02000001,United Kingdom,overview,05/02/2021,752
K02000001,United Kingdom,overview,04/02/2021,715
K02000001,United Kingdom,overview,03/02/2021,857
K02000001,United Kingdom,overview,02/02/2021,849
K02000001,United Kingdom,overview,01/02/2021,891
K02000001,United Kingdom,overview,31/01/2021,892
K02000001,United Kingdom,overview,30/01/2021,912
K02000001,United Kingdom,overview,29/01/2021,1067
K02000001,United Kingdom,overview,28/01/2021,1107
K02000001,United Kingdom,overview,27/01/2021,1111
K02000001,United Kingdom,overview,26/01/2021,1059
K02000001,United Kingdom,overview,25/01/2021,1164
K02000001,United Kingdom,overview,24/01/2021,1157
K02000001,United Kingdom,overview,23/01/2021,1164
K02000001,United Kingdom,overview,22/01/2021,1244
K02000001,United Kingdom,overview,21/01/2021,1236
K02000001,United Kingdom,overview,20/01/2021,1296
K02000001,United Kingdom,overview,19/01/2021,1359
K02000001,United Kingdom,overview,18/01/2021,1294
K02000001,United Kingdom,overview,17/01/2021,1267
K02000001,United Kingdom,overview,16/01/2021,1306
K02000001,United Kingdom,overview,15/01/2021,1225
K02000001,United Kingdom,overview,14/01/2021,1227
K02000001,United Kingdom,overview,13/01/2021,1214
K02000001,United Kingdom,overview,12/01/2021,1209
K02000001,United Kingdom,overview,11/01/2021,1130
K02000001,United Kingdom,overview,10/01/2021,1095
K02000001,United Kingdom,overview,09/01/2021,1018
K02000001,United Kingdom,overview,08/01/2021,986
K02000001,United Kingdom,overview,07/01/2021,994
K02000001,United Kingdom,overview,06/01/2021,931
K02000001,United Kingdom,overview,05/01/2021,906
K02000001,United Kingdom,overview,04/01/2021,840
K02000001,United Kingdom,overview,03/01/2021,759
K02000001,United Kingdom,overview,02/01/2021,759
K02000001,United Kingdom,overview,01/01/2021,748
K02000001,United Kingdom,overview,31/12/2020,757
K02000001,United Kingdom,overview,30/12/2020,720
K02000001,United Kingdom,overview,29/12/2020,656
K02000001,United Kingdom,overview,28/12/2020,678
K02000001,United Kingdom,overview,27/12/2020,652
K02000001,United Kingdom,overview,26/12/2020,654
K02000001,United Kingdom,overview,25/12/2020,612
K02000001,United Kingdom,overview,24/12/2020,582
K02000001,United Kingdom,overview,23/12/2020,565
K02000001,United Kingdom,overview,22/12/2020,562
K02000001,United Kingdom,overview,21/12/2020,575
K02000001,United Kingdom,overview,20/12/2020,506
K02000001,United Kingdom,overview,19/12/2020,488
K02000001,United Kingdom,overview,18/12/2020,514
K02000001,United Kingdom,overview,17/12/2020,538
K02000001,United Kingdom,overview,16/12/2020,433
K02000001,United Kingdom,overview,15/12/2020,459
K02000001,United Kingdom,overview,14/12/2020,479
K02000001,United Kingdom,overview,13/12/2020,418
K02000001,United Kingdom,overview,12/12/2020,437
K02000001,United Kingdom,overview,11/12/2020,453
K02000001,United Kingdom,overview,10/12/2020,447
K02000001,United Kingdom,overview,09/12/2020,431
K02000001,United Kingdom,overview,08/12/2020,435
K02000001,United Kingdom,overview,07/12/2020,420
K02000001,United Kingdom,overview,06/12/2020,420
K02000001,United Kingdom,overview,05/12/2020,395
K02000001,United Kingdom,overview,04/12/2020,475
K02000001,United Kingdom,overview,03/12/2020,474
K02000001,United Kingdom,overview,02/12/2020,386
K02000001,United Kingdom,overview,01/12/2020,399
K02000001,United Kingdom,overview,30/11/2020,423
K02000001,United Kingdom,overview,29/11/2020,465
K02000001,United Kingdom,overview,28/11/2020,467
K02000001,United Kingdom,overview,27/11/2020,425
K02000001,United Kingdom,overview,26/11/2020,433
K02000001,United Kingdom,overview,25/11/2020,484
K02000001,United Kingdom,overview,24/11/2020,461
K02000001,United Kingdom,overview,23/11/2020,464
K02000001,United Kingdom,overview,22/11/2020,475
K02000001,United Kingdom,overview,21/11/2020,466
K02000001,United Kingdom,overview,20/11/2020,454
K02000001,United Kingdom,overview,19/11/2020,461
K02000001,United Kingdom,overview,18/11/2020,487
K02000001,United Kingdom,overview,17/11/2020,440
K02000001,United Kingdom,overview,16/11/2020,423
K02000001,United Kingdom,overview,15/11/2020,454
K02000001,United Kingdom,overview,14/11/2020,431
K02000001,United Kingdom,overview,13/11/2020,436
K02000001,United Kingdom,overview,12/11/2020,421
K02000001,United Kingdom,overview,11/11/2020,391
K02000001,United Kingdom,overview,10/11/2020,391
K02000001,United Kingdom,overview,09/11/2020,482
K02000001,United Kingdom,overview,08/11/2020,415
K02000001,United Kingdom,overview,07/11/2020,392
K02000001,United Kingdom,overview,06/11/2020,401
K02000001,United Kingdom,overview,05/11/2020,380
K02000001,United Kingdom,overview,04/11/2020,329
K02000001,United Kingdom,overview,03/11/2020,361
K02000001,United Kingdom,overview,02/11/2020,337
K02000001,United Kingdom,overview,01/11/2020,359
K02000001,United Kingdom,overview,31/10/2020,320
K02000001,United Kingdom,overview,30/10/2020,339
K02000001,United Kingdom,overview,29/10/2020,313
K02000001,United Kingdom,overview,28/10/2020,287
K02000001,United Kingdom,overview,27/10/2020,266
K02000001,United Kingdom,overview,26/10/2020,280
K02000001,United Kingdom,overview,25/10/2020,250
K02000001,United Kingdom,overview,24/10/2020,213
K02000001,United Kingdom,overview,23/10/2020,223
K02000001,United Kingdom,overview,22/10/2020,236
K02000001,United Kingdom,overview,21/10/2020,221
K02000001,United Kingdom,overview,20/10/2020,197
K02000001,United Kingdom,overview,19/10/2020,192
K02000001,United Kingdom,overview,18/10/2020,160
K02000001,United Kingdom,overview,17/10/2020,178
K02000001,United Kingdom,overview,16/10/2020,150
K02000001,United Kingdom,overview,15/10/2020,151
K02000001,United Kingdom,overview,14/10/2020,116
K02000001,United Kingdom,overview,13/10/2020,111
K02000001,United Kingdom,overview,12/10/2020,113
K02000001,United Kingdom,overview,11/10/2020,124
K02000001,United Kingdom,overview,10/10/2020,104
K02000001,United Kingdom,overview,09/10/2020,79
K02000001,United Kingdom,overview,08/10/2020,93
K02000001,United Kingdom,overview,07/10/2020,102
K02000001,United Kingdom,overview,06/10/2020,71
K02000001,United Kingdom,overview,05/10/2020,72
K02000001,United Kingdom,overview,04/10/2020,60
K02000001,United Kingdom,overview,03/10/2020,67
K02000001,United Kingdom,overview,02/10/2020,69
K02000001,United Kingdom,overview,01/10/2020,66
K02000001,United Kingdom,overview,30/09/2020,57
K02000001,United Kingdom,overview,29/09/2020,48
K02000001,United Kingdom,overview,28/09/2020,54
K02000001,United Kingdom,overview,27/09/2020,47
K02000001,United Kingdom,overview,26/09/2020,39
K02000001,United Kingdom,overview,25/09/2020,32
K02000001,United Kingdom,overview,24/09/2020,35
K02000001,United Kingdom,overview,23/09/2020,57
K02000001,United Kingdom,overview,22/09/2020,39
K02000001,United Kingdom,overview,21/09/2020,27
K02000001,United Kingdom,overview,20/09/2020,32
K02000001,United Kingdom,overview,19/09/2020,20
K02000001,United Kingdom,overview,18/09/2020,24
K02000001,United Kingdom,overview,17/09/2020,27
K02000001,United Kingdom,overview,16/09/2020,26
K02000001,United Kingdom,overview,15/09/2020,18
K02000001,United Kingdom,overview,14/09/2020,21
K02000001,United Kingdom,overview,13/09/2020,16
K02000001,United Kingdom,overview,12/09/2020,18
K02000001,United Kingdom,overview,11/09/2020,13
K02000001,United Kingdom,overview,10/09/2020,13
K02000001,United Kingdom,overview,09/09/2020,9
K02000001,United Kingdom,overview,08/09/2020,9
K02000001,United Kingdom,overview,07/09/2020,15
K02000001,United Kingdom,overview,06/09/2020,8
K02000001,United Kingdom,overview,05/09/2020,13
K02000001,United Kingdom,overview,04/09/2020,7
K02000001,United Kingdom,overview,03/09/2020,10
K02000001,United Kingdom,overview,02/09/2020,9
K02000001,United Kingdom,overview,01/09/2020,3
K02000001,United Kingdom,overview,31/08/2020,9
K02000001,United Kingdom,overview,30/08/2020,6
K02000001,United Kingdom,overview,29/08/2020,5
K02000001,United Kingdom,overview,28/08/2020,10
K02000001,United Kingdom,overview,27/08/2020,8
K02000001,United Kingdom,overview,26/08/2020,11
K02000001,United Kingdom,overview,25/08/2020,12
K02000001,United Kingdom,overview,24/08/2020,6
K02000001,United Kingdom,overview,23/08/2020,14
K02000001,United Kingdom,overview,22/08/2020,8
K02000001,United Kingdom,overview,21/08/2020,7
K02000001,United Kingdom,overview,20/08/2020,8
K02000001,United Kingdom,overview,19/08/2020,3
K02000001,United Kingdom,overview,18/08/2020,9
K02000001,United Kingdom,overview,17/08/2020,12
K02000001,United Kingdom,overview,16/08/2020,4
K02000001,United Kingdom,overview,15/08/2020,12
K02000001,United Kingdom,overview,14/08/2020,7
K02000001,United Kingdom,overview,13/08/2020,9
K02000001,United Kingdom,overview,12/08/2020,7
K02000001,United Kingdom,overview,11/08/2020,10
K02000001,United Kingdom,overview,10/08/2020,13
K02000001,United Kingdom,overview,09/08/2020,8
K02000001,United Kingdom,overview,08/08/2020,14
K02000001,United Kingdom,overview,07/08/2020,12
K02000001,United Kingdom,overview,06/08/2020,9
K02000001,United Kingdom,overview,05/08/2020,6
K02000001,United Kingdom,overview,04/08/2020,14
K02000001,United Kingdom,overview,03/08/2020,15
K02000001,United Kingdom,overview,02/08/2020,10
K02000001,United Kingdom,overview,01/08/2020,11
K02000001,United Kingdom,overview,31/07/2020,14
K02000001,United Kingdom,overview,30/07/2020,10
K02000001,United Kingdom,overview,29/07/2020,12
K02000001,United Kingdom,overview,28/07/2020,12
K02000001,United Kingdom,overview,27/07/2020,11
K02000001,United Kingdom,overview,26/07/2020,16
K02000001,United Kingdom,overview,25/07/2020,16
K02000001,United Kingdom,overview,24/07/2020,7
K02000001,United Kingdom,overview,23/07/2020,16
K02000001,United Kingdom,overview,22/07/2020,17
K02000001,United Kingdom,overview,21/07/2020,20
K02000001,United Kingdom,overview,20/07/2020,12
K02000001,United Kingdom,overview,19/07/2020,14
K02000001,United Kingdom,overview,18/07/2020,14
K02000001,United Kingdom,overview,17/07/2020,18
K02000001,United Kingdom,overview,16/07/2020,13
K02000001,United Kingdom,overview,15/07/2020,20
K02000001,United Kingdom,overview,14/07/2020,21
K02000001,United Kingdom,overview,13/07/2020,24
K02000001,United Kingdom,overview,12/07/2020,13
K02000001,United Kingdom,overview,11/07/2020,21
K02000001,United Kingdom,overview,10/07/2020,21
K02000001,United Kingdom,overview,09/07/2020,37
K02000001,United Kingdom,overview,08/07/2020,24
K02000001,United Kingdom,overview,07/07/2020,27
K02000001,United Kingdom,overview,06/07/2020,35
K02000001,United Kingdom,overview,05/07/2020,27
K02000001,United Kingdom,overview,04/07/2020,33
K02000001,United Kingdom,overview,03/07/2020,29
K02000001,United Kingdom,overview,02/07/2020,43
K02000001,United Kingdom,overview,01/07/2020,27
K02000001,United Kingdom,overview,30/06/2020,47
K02000001,United Kingdom,overview,29/06/2020,39
K02000001,United Kingdom,overview,28/06/2020,45
K02000001,United Kingdom,overview,27/06/2020,49
K02000001,United Kingdom,overview,26/06/2020,41
K02000001,United Kingdom,overview,25/06/2020,68
K02000001,United Kingdom,overview,24/06/2020,74
K02000001,United Kingdom,overview,23/06/2020,64
K02000001,United Kingdom,overview,22/06/2020,64
K02000001,United Kingdom,overview,21/06/2020,54
K02000001,United Kingdom,overview,20/06/2020,60
K02000001,United Kingdom,overview,19/06/2020,52
K02000001,United Kingdom,overview,18/06/2020,61
K02000001,United Kingdom,overview,17/06/2020,59
K02000001,United Kingdom,overview,16/06/2020,84
K02000001,United Kingdom,overview,15/06/2020,70
K02000001,United Kingdom,overview,14/06/2020,86
K02000001,United Kingdom,overview,13/06/2020,62
K02000001,United Kingdom,overview,12/06/2020,80
K02000001,United Kingdom,overview,11/06/2020,80
K02000001,United Kingdom,overview,10/06/2020,109
K02000001,United Kingdom,overview,09/06/2020,90
K02000001,United Kingdom,overview,08/06/2020,125
K02000001,United Kingdom,overview,07/06/2020,128
K02000001,United Kingdom,overview,06/06/2020,110
K02000001,United Kingdom,overview,05/06/2020,123
K02000001,United Kingdom,overview,04/06/2020,134
K02000001,United Kingdom,overview,03/06/2020,155
K02000001,United Kingdom,overview,02/06/2020,168
K02000001,United Kingdom,overview,01/06/2020,135
K02000001,United Kingdom,overview,31/05/2020,126
K02000001,United Kingdom,overview,30/05/2020,163
K02000001,United Kingdom,overview,29/05/2020,186
K02000001,United Kingdom,overview,28/05/2020,217
K02000001,United Kingdom,overview,27/05/2020,197
K02000001,United Kingdom,overview,26/05/2020,214
K02000001,United Kingdom,overview,25/05/2020,200
K02000001,United Kingdom,overview,24/05/2020,196
K02000001,United Kingdom,overview,23/05/2020,220
K02000001,United Kingdom,overview,22/05/2020,223
K02000001,United Kingdom,overview,21/05/2020,238
K02000001,United Kingdom,overview,20/05/2020,268
K02000001,United Kingdom,overview,19/05/2020,275
K02000001,United Kingdom,overview,18/05/2020,293
K02000001,United Kingdom,overview,17/05/2020,267
K02000001,United Kingdom,overview,16/05/2020,314
K02000001,United Kingdom,overview,15/05/2020,314
K02000001,United Kingdom,overview,14/05/2020,334
K02000001,United Kingdom,overview,13/05/2020,317
K02000001,United Kingdom,overview,12/05/2020,321
K02000001,United Kingdom,overview,11/05/2020,309
K02000001,United Kingdom,overview,10/05/2020,348
K02000001,United Kingdom,overview,09/05/2020,378
K02000001,United Kingdom,overview,08/05/2020,383
K02000001,United Kingdom,overview,07/05/2020,461
K02000001,United Kingdom,overview,06/05/2020,459
K02000001,United Kingdom,overview,05/05/2020,465
K02000001,United Kingdom,overview,04/05/2020,484
K02000001,United Kingdom,overview,03/05/2020,450
K02000001,United Kingdom,overview,02/05/2020,494
K02000001,United Kingdom,overview,01/05/2020,568
K02000001,United Kingdom,overview,30/04/2020,551
K02000001,United Kingdom,overview,29/04/2020,572
K02000001,United Kingdom,overview,28/04/2020,561
K02000001,United Kingdom,overview,27/04/2020,594
K02000001,United Kingdom,overview,26/04/2020,633
K02000001,United Kingdom,overview,25/04/2020,647
K02000001,United Kingdom,overview,24/04/2020,683
K02000001,United Kingdom,overview,23/04/2020,678
K02000001,United Kingdom,overview,22/04/2020,731
K02000001,United Kingdom,overview,21/04/2020,745
K02000001,United Kingdom,overview,20/04/2020,783
K02000001,United Kingdom,overview,19/04/2020,769
K02000001,United Kingdom,overview,18/04/2020,800
K02000001,United Kingdom,overview,17/04/2020,819
K02000001,United Kingdom,overview,16/04/2020,844
K02000001,United Kingdom,overview,15/04/2020,878
K02000001,United Kingdom,overview,14/04/2020,857
K02000001,United Kingdom,overview,13/04/2020,896
K02000001,United Kingdom,overview,12/04/2020,959
K02000001,United Kingdom,overview,11/04/2020,956
K02000001,United Kingdom,overview,10/04/2020,944
K02000001,United Kingdom,overview,09/04/2020,1001
K02000001,United Kingdom,overview,08/04/2020,1076
K02000001,United Kingdom,overview,07/04/2020,999
K02000001,United Kingdom,overview,06/04/2020,895
K02000001,United Kingdom,overview,05/04/2020,917
K02000001,United Kingdom,overview,04/04/2020,906
K02000001,United Kingdom,overview,03/04/2020,840
K02000001,United Kingdom,overview,02/04/2020,806
K02000001,United Kingdom,overview,01/04/2020,769
K02000001,United Kingdom,overview,31/03/2020,661
K02000001,United Kingdom,overview,30/03/2020,591
K02000001,United Kingdom,overview,29/03/2020,506
K02000001,United Kingdom,overview,28/03/2020,436
K02000001,United Kingdom,overview,27/03/2020,398
K02000001,United Kingdom,overview,26/03/2020,362
K02000001,United Kingdom,overview,25/03/2020,303
K02000001,United Kingdom,overview,24/03/2020,237
K02000001,United Kingdom,overview,23/03/2020,186
K02000001,United Kingdom,overview,22/03/2020,164
K02000001,United Kingdom,overview,21/03/2020,130
K02000001,United Kingdom,overview,20/03/2020,109
K02000001,United Kingdom,overview,19/03/2020,74
K02000001,United Kingdom,overview,18/03/2020,68
K02000001,United Kingdom,overview,17/03/2020,52
K02000001,United Kingdom,overview,16/03/2020,47
K02000001,United Kingdom,overview,15/03/2020,32
K02000001,United Kingdom,overview,14/03/2020,22
K02000001,United Kingdom,overview,13/03/2020,16
K02000001,United Kingdom,overview,12/03/2020,13
K02000001,United Kingdom,overview,11/03/2020,8
K02000001,United Kingdom,overview,10/03/2020,3
K02000001,United Kingdom,overview,09/03/2020,5
K02000001,United Kingdom,overview,08/03/2020,3
K02000001,United Kingdom,overview,07/03/2020,0
K02000001,United Kingdom,overview,06/03/2020,0
K02000001,United Kingdom,overview,05/03/2020,3
K02000001,United Kingdom,overview,04/03/2020,0
K02000001,United Kingdom,overview,03/03/2020,2
K02000001,United Kingdom,overview,02/03/2020,1
