,Unnamed: 0,LOCATION,TIME,Germany_unemployment_rate,index,time_close,ETH_closing_price,yfit,xfit
0,0.0,DEU,2016-09-01,4.1,0.0,2016-10-31 00:00:00+00:00,9.9355,,
1,1.0,DEU,2016-10-01,4.0,1.0,2016-11-30 00:00:00+00:00,7.975550000000001,,
2,2.0,DEU,2016-11-01,3.9,2.0,2016-12-31 00:00:00+00:00,6.7098933333333335,,
3,3.0,DEU,2016-12-01,3.9,3.0,2017-01-31 00:00:00+00:00,8.442843333333334,,
4,4.0,DEU,2017-01-01,3.9,4.0,2017-02-28 00:00:00+00:00,10.676926666666667,,
5,5.0,DEU,2017-02-01,3.9,5.0,2017-03-31 00:00:00+00:00,29.256236666666666,,
6,6.0,DEU,2017-03-01,3.9,6.0,2017-04-30 00:00:00+00:00,43.29828666666666,,
7,7.0,DEU,2017-04-01,3.8,7.0,2017-05-31 00:00:00+00:00,91.30842333333334,,
8,8.0,DEU,2017-05-01,3.8,8.0,2017-06-30 00:00:00+00:00,234.96738,,
9,9.0,DEU,2017-06-01,3.8,9.0,2017-07-31 00:00:00+00:00,163.49625333333333,,
10,10.0,DEU,2017-07-01,3.7,10.0,2017-08-31 00:00:00+00:00,227.66631,,
11,11.0,DEU,2017-08-01,3.7,11.0,2017-09-30 00:00:00+00:00,207.005,,
12,12.0,DEU,2017-09-01,3.7,12.0,2017-10-31 00:00:00+00:00,222.31,,
13,13.0,DEU,2017-10-01,3.7,13.0,2017-11-30 00:00:00+00:00,230.16333333333333,,
14,14.0,DEU,2017-11-01,3.6,14.0,2017-12-31 00:00:00+00:00,386.3966666666667,,
15,15.0,DEU,2017-12-01,3.6,15.0,2018-01-31 00:00:00+00:00,662.9466666666667,,
16,16.0,DEU,2018-01-01,3.5,16.0,2018-02-28 00:00:00+00:00,545.8333333333334,,
17,17.0,DEU,2018-02-01,3.5,17.0,2018-03-31 00:00:00+00:00,460.3433333333333,,
18,18.0,DEU,2018-03-01,3.5,18.0,2018-04-30 00:00:00+00:00,360.1166666666666,,
19,19.0,DEU,2018-04-01,3.4,19.0,2018-05-31 00:00:00+00:00,507.7866666666667,,
20,20.0,DEU,2018-05-01,3.4,20.0,2018-06-30 00:00:00+00:00,392.6,,
21,21.0,DEU,2018-06-01,3.4,21.0,2018-07-31 00:00:00+00:00,346.5,,
22,22.0,DEU,2018-07-01,3.4,22.0,2018-08-31 00:00:00+00:00,254.245,,
23,23.0,DEU,2018-08-01,3.4,23.0,2018-09-30 00:00:00+00:00,166.27666666666667,,
24,24.0,DEU,2018-09-01,3.4,24.0,2018-10-31 00:00:00+00:00,161.92333333333337,,
25,25.0,DEU,2018-10-01,3.3,25.0,2018-11-30 00:00:00+00:00,122.71999999999998,,
26,26.0,DEU,2018-11-01,3.3,26.0,2018-12-31 00:00:00+00:00,87.06,,
27,27.0,DEU,2018-12-01,3.3,27.0,2019-01-31 00:00:00+00:00,98.96333333333332,,
28,28.0,DEU,2019-01-01,3.3,28.0,2019-02-28 00:00:00+00:00,94.64333333333332,,
29,29.0,DEU,2019-02-01,3.2,29.0,2019-03-31 00:00:00+00:00,106.64666666666666,,
30,30.0,DEU,2019-03-01,3.2,30.0,2019-04-30 00:00:00+00:00,130.43666666666667,,
31,31.0,DEU,2019-04-01,3.2,31.0,2019-05-31 00:00:00+00:00,176.73,,
32,32.0,DEU,2019-05-01,3.1,32.0,2019-06-30 00:00:00+00:00,215.48333333333332,,
33,33.0,DEU,2019-06-01,3.1,33.0,2019-07-31 00:00:00+00:00,194.21666666666667,,
34,34.0,DEU,2019-07-01,3.1,34.0,2019-08-31 00:00:00+00:00,164.23333333333338,,
35,35.0,DEU,2019-08-01,3.1,35.0,2019-09-30 00:00:00+00:00,143.96666666666667,,
36,36.0,DEU,2019-09-01,3.1,36.0,2019-10-31 00:00:00+00:00,142.31,,
37,37.0,DEU,2019-10-01,3.1,37.0,2019-11-30 00:00:00+00:00,132.51000000000002,,
38,38.0,DEU,2019-11-01,3.2,38.0,2019-12-31 00:00:00+00:00,105.66666666666669,,
39,39.0,DEU,2019-12-01,3.3,39.0,2020-01-31 00:00:00+00:00,112.54666666666668,,
40,40.0,DEU,2020-01-01,3.4,40.0,2020-02-29 00:00:00+00:00,184.6433333333333,,
41,41.0,DEU,2020-02-01,3.5,41.0,2020-03-31 00:00:00+00:00,134.61666666666667,,
42,42.0,DEU,2020-03-01,3.6,42.0,2020-04-30 00:00:00+00:00,130.20000000000002,,
43,43.0,DEU,2020-04-01,3.7,43.0,2020-05-31 00:00:00+00:00,165.96,,
44,44.0,DEU,2020-05-01,3.8,44.0,2020-06-30 00:00:00+00:00,188.9633333333333,,
45,45.0,DEU,2020-06-01,3.9,45.0,2020-07-31 00:00:00+00:00,208.805,,
46,46.0,DEU,2020-07-01,4.0,46.0,2020-08-31 00:00:00+00:00,313.6033333333333,,
47,47.0,DEU,2020-08-01,4.1,47.0,2020-09-30 00:00:00+00:00,283.5833333333333,,
48,48.0,DEU,2020-09-01,4.1,48.0,2020-10-31 00:00:00+00:00,291.2966666666667,,
49,49.0,DEU,2020-10-01,4.1,49.0,2020-11-30 00:00:00+00:00,370.77333333333337,,
50,50.0,DEU,2020-11-01,4.1,50.0,2020-12-31 00:00:00+00:00,481.10666666666674,,
51,51.0,DEU,2020-12-01,4.0,51.0,2021-01-31 00:00:00+00:00,908.4066666666665,,
52,52.0,DEU,2021-01-01,3.9,52.0,2021-02-28 00:00:00+00:00,1186.0933333333335,,
53,53.0,DEU,2021-02-01,3.9,53.0,2021-03-31 00:00:00+00:00,1279.45,,
54,54.0,DEU,2021-03-01,3.8,54.0,2021-04-30 00:00:00+00:00,1684.03,,
55,55.0,DEU,2021-04-01,3.7,55.0,2021-05-31 00:00:00+00:00,2251.036666666667,,
56,56.0,DEU,2021-05-01,3.6,56.0,2021-06-30 00:00:00+00:00,1643.5866666666668,,
57,57.0,DEU,2021-06-01,3.5,57.0,2021-07-31 00:00:00+00:00,1519.46,,
58,58.0,DEU,2021-07-01,3.4,58.0,2021-08-31 00:00:00+00:00,2253.7966666666666,,
59,59.0,DEU,2021-08-01,3.4,59.0,2021-09-30 00:00:00+00:00,2480.56,,
60,60.0,DEU,2021-09-01,3.3,60.0,2021-10-31 00:00:00+00:00,2729.0533333333333,,
61,61.0,DEU,2021-10-01,3.3,61.0,2021-11-30 00:00:00+00:00,3360.0066666666667,,
0,,,,,,,,3.604020666098489,6.7098933333333335
1,,,,,,,,3.6024725337150656,10.066546760093427
2,,,,,,,,3.6009525918029506,13.42320018685352
3,,,,,,,,3.599460670673749,16.779853613613614
4,,,,,,,,3.5979966010108626,20.136507040373708
5,,,,,,,,3.5965602138694863,23.4931604671338
6,,,,,,,,3.595151340676612,26.849813893893895
7,,,,,,,,3.593769813231025,30.20646732065399
8,,,,,,,,3.592415463703309,33.56312074741408
9,,,,,,,,3.591088124635839,36.91977417417418
10,,,,,,,,3.5897876289427884,40.27642760093427
11,,,,,,,,3.588513809910124,43.63308102769437
12,,,,,,,,3.5872665011956086,46.98973445445446
13,,,,,,,,3.5860455368288005,50.34638788121455
14,,,,,,,,3.5848507512110523,53.703041307974644
15,,,,,,,,3.5836819791155126,57.05969473473474
16,,,,,,,,3.582539055687125,60.41634816149483
17,,,,,,,,3.581421816442628,63.77300158825492
18,,,,,,,,3.5803300972705565,67.12965501501502
19,,,,,,,,3.5792637344312395,70.48630844177512
20,,,,,,,,3.5782225645568015,73.84296186853521
21,,,,,,,,3.577206424651163,77.1996152952953
22,,,,,,,,3.576215152090038,80.55626872205539
23,,,,,,,,3.5752485846209376,83.91292214881548
24,,,,,,,,3.5743065603631674,87.26957557557557
25,,,,,,,,3.5733889178078275,90.62622900233566
26,,,,,,,,3.5724954958178152,93.98288242909575
27,,,,,,,,3.5716261336278206,97.33953585585587
28,,,,,,,,3.570780670844331,100.69618928261596
29,,,,,,,,3.569958947445628,104.05284270937605
30,,,,,,,,3.569160803781789,107.40949613613614
31,,,,,,,,3.568386080574685,110.76614956289623
32,,,,,,,,3.5676346189179853,114.12280298965632
33,,,,,,,,3.5669062602771513,117.47945641641641
34,,,,,,,,3.566200846489442,120.8361098431765
35,,,,,,,,3.56551821976391,124.19276326993662
36,,,,,,,,3.5648582226814045,127.54941669669671
37,,,,,,,,3.5642206981945685,130.9060701234568
38,,,,,,,,3.5636054896278413,134.2627235502169
39,,,,,,,,3.5630124406774573,137.61937697697698
40,,,,,,,,3.5624413954114456,140.97603040373707
41,,,,,,,,3.5618921982696317,144.33268383049716
42,,,,,,,,3.5613646940636348,147.68933725725725
43,,,,,,,,3.56085872797687,151.04599068401734
44,,,,,,,,3.5603741455645483,154.40264411077746
45,,,,,,,,3.5599107927536755,157.75929753753755
46,,,,,,,,3.559468515843052,161.11595096429764
47,,,,,,,,3.559047161503275,164.47260439105773
48,,,,,,,,3.5586465767767343,167.82925781781782
49,,,,,,,,3.558266609077618,171.1859112445779
50,,,,,,,,3.5579071061919074,174.542564671338
51,,,,,,,,3.5575679162773794,177.8992180980981
52,,,,,,,,3.5572488878636075,181.25587152485818
53,,,,,,,,3.5569498698519584,184.6125249516183
54,,,,,,,,3.5566707115155953,187.9691783783784
55,,,,,,,,3.556411262499476,191.32583180513848
56,,,,,,,,3.5561713728203546,194.68248523189857
57,,,,,,,,3.555950892866779,198.03913865865866
58,,,,,,,,3.5557496733990934,201.39579208541875
59,,,,,,,,3.555567565549437,204.75244551217884
60,,,,,,,,3.5554044208217443,208.10909893893896
61,,,,,,,,3.5552600910917445,211.46575236569905
62,,,,,,,,3.5551344286069626,214.82240579245914
63,,,,,,,,3.5550272859867187,218.17905921921923
64,,,,,,,,3.554938516222128,221.53571264597932
65,,,,,,,,3.5548679726761017,224.8923660727394
66,,,,,,,,3.554815509083345,228.2490194994995
67,,,,,,,,3.5547809795503587,231.6056729262596
68,,,,,,,,3.55476423855544,234.96232635301968
69,,,,,,,,3.5547651409486796,238.3189797797798
70,,,,,,,,3.554783541951965,241.67563320653989
71,,,,,,,,3.5548192971589776,245.03228663329998
72,,,,,,,,3.5548722625351954,248.38894006006007
73,,,,,,,,3.5549422944178906,251.74559348682016
74,,,,,,,,3.5550292495161306,255.10224691358025
75,,,,,,,,3.555132984910779,258.45890034034034
76,,,,,,,,3.5552533580544936,261.8155537671005
77,,,,,,,,3.555390226771728,265.1722071938606
78,,,,,,,,3.5555434492587312,268.52886062062066
79,,,,,,,,3.5557128840835475,271.88551404738075
80,,,,,,,,3.555898390186015,275.24216747414084
81,,,,,,,,3.556099826877769,278.59882090090093
82,,,,,,,,3.5563170538422395,281.955474327661
83,,,,,,,,3.5565499311346507,285.3121277544211
84,,,,,,,,3.556798319182023,288.6687811811812
85,,,,,,,,3.557062078783172,292.0254346079413
86,,,,,,,,3.557341071108709,295.3820880347014
87,,,,,,,,3.5576351577010388,298.7387414614615
88,,,,,,,,3.5579442004743633,302.0953948882216
89,,,,,,,,3.558268061714679,305.4520483149817
90,,,,,,,,3.558606604079777,308.8087017417418
91,,,,,,,,3.5589596905992447,312.1653551685019
92,,,,,,,,3.5593271846744643,315.522008595262
93,,,,,,,,3.5597089500786128,318.87866202202207
94,,,,,,,,3.560104850956663,322.23531544878216
95,,,,,,,,3.560514751825383,325.59196887554225
96,,,,,,,,3.560938517573336,328.94862230230234
97,,,,,,,,3.5613760134608796,332.30527572906243
98,,,,,,,,3.561827105120168,335.6619291558225
99,,,,,,,,3.562291658555151,339.0185825825826
100,,,,,,,,3.562769540141571,342.3752360093427
101,,,,,,,,3.5632606166269682,345.7318894361028
102,,,,,,,,3.5637647551306775,349.0885428628629
103,,,,,,,,3.564281823143828,352.44519628962297
104,,,,,,,,3.5648116885293453,355.80184971638306
105,,,,,,,,3.565354219521949,359.1585031431432
106,,,,,,,,3.565909284728156,362.5151565699033
107,,,,,,,,3.566476753126276,365.8718099966634
108,,,,,,,,3.567056494066416,369.2284634234235
109,,,,,,,,3.5676483772704763,372.58511685018357
110,,,,,,,,3.568252272832154,375.94177027694366
111,,,,,,,,3.5688680512169406,379.29842370370375
112,,,,,,,,3.5694955832621234,382.65507713046384
113,,,,,,,,3.5701347401767842,386.0117305572239
114,,,,,,,,3.5707853935418017,389.368383983984
115,,,,,,,,3.5714474153098474,392.7250374107441
116,,,,,,,,3.5721206778053896,396.0816908375042
117,,,,,,,,3.572805053724692,399.4383442642643
118,,,,,,,,3.5735004161358126,402.7949976910244
119,,,,,,,,3.5742066384786058,406.15165111778447
120,,,,,,,,3.5749235945647198,409.5083045445446
121,,,,,,,,3.575651158577599,412.8649579713047
122,,,,,,,,3.5763892050724837,416.2216113980648
123,,,,,,,,3.5771376089764075,419.5782648248249
124,,,,,,,,3.5778962455882013,422.934918251585
125,,,,,,,,3.5786649905784893,426.29157167834506
126,,,,,,,,3.5794437199896927,429.64822510510515
127,,,,,,,,3.5802323102360267,433.00487853186524
128,,,,,,,,3.581030638103503,436.36153195862533
129,,,,,,,,3.581838580749927,439.7181853853854
130,,,,,,,,3.5826560157049006,443.0748388121455
131,,,,,,,,3.58348282086982,446.4314922389056
132,,,,,,,,3.5843188745178773,449.7881456656657
133,,,,,,,,3.5851640552940602,453.1447990924258
134,,,,,,,,3.5860182422151503,456.5014525191859
135,,,,,,,,3.586881314669726,459.85810594594597
136,,,,,,,,3.587753152418159,463.21475937270606
137,,,,,,,,3.5886336355926187,466.5714127994662
138,,,,,,,,3.589522644697068,469.9280662262263
139,,,,,,,,3.590420060607265,473.2847196529864
140,,,,,,,,3.5913257645707644,476.6413730797465
141,,,,,,,,3.5922396382069146,479.99802650650656
142,,,,,,,,3.5931615635068606,483.35467993326665
143,,,,,,,,3.5940914228335417,486.71133336002674
144,,,,,,,,3.5950290989216924,490.06798678678683
145,,,,,,,,3.5959744748778433,493.4246402135469
146,,,,,,,,3.5969274341803197,496.781293640307
147,,,,,,,,3.5978878606792417,500.1379470670671
148,,,,,,,,3.5988556385965254,503.4946004938272
149,,,,,,,,3.5998306525258816,506.8512539205873
150,,,,,,,,3.600812787432817,510.2079073473474
151,,,,,,,,3.6018019286546332,513.5645607741075
152,,,,,,,,3.6027979619004262,516.9212142008676
153,,,,,,,,3.603800773251089,520.2778676276276
154,,,,,,,,3.6048102491593084,523.6345210543877
155,,,,,,,,3.6058262764495668,526.9911744811478
156,,,,,,,,3.6068487423181423,530.3478279079079
157,,,,,,,,3.6078775343331078,533.704481334668
158,,,,,,,,3.608912540434331,537.0611347614281
159,,,,,,,,3.6099536489334763,540.4177881881882
160,,,,,,,,3.6110007485140017,543.7744416149483
161,,,,,,,,3.6120537282311616,547.1310950417084
162,,,,,,,,3.613112477512005,550.4877484684685
163,,,,,,,,3.6141768861553767,553.8444018952285
164,,,,,,,,3.615246844331916,557.2010553219886
165,,,,,,,,3.616322242584058,560.5577087487487
166,,,,,,,,3.6174029718260328,563.9143621755088
167,,,,,,,,3.618488923343866,567.2710156022689
168,,,,,,,,3.6195799887953783,570.627669029029
169,,,,,,,,3.6206760602101853,573.9843224557891
170,,,,,,,,3.6217770299896985,577.3409758825492
171,,,,,,,,3.6228827909071244,580.6976293093093
172,,,,,,,,3.6239932361074647,584.0542827360694
173,,,,,,,,3.6251082591075154,587.4109361628294
174,,,,,,,,3.62622775379587,590.7675895895895
175,,,,,,,,3.6273516144329148,594.1242430163496
176,,,,,,,,3.628479735650833,597.4808964431098
177,,,,,,,,3.6296120124536024,600.8375498698699
178,,,,,,,,3.630748340216996,604.19420329663
179,,,,,,,,3.6318886146885823,607.5508567233901
180,,,,,,,,3.633032731987725,610.9075101501502
181,,,,,,,,3.6341805886055822,614.2641635769103
182,,,,,,,,3.6353320814051093,617.6208170036704
183,,,,,,,,3.6364871076210545,620.9774704304305
184,,,,,,,,3.637645564859963,624.3341238571905
185,,,,,,,,3.638807351100174,627.6907772839506
186,,,,,,,,3.639972364691823,631.0474307107107
187,,,,,,,,3.641140504356841,634.4040841374708
188,,,,,,,,3.642311669188952,637.7607375642309
189,,,,,,,,3.643485758653678,641.117390990991
190,,,,,,,,3.644662672588335,644.4740444177511
191,,,,,,,,3.645842311202034,647.8306978445112
192,,,,,,,,3.6470245750756813,651.1873512712713
193,,,,,,,,3.648209365161979,654.5440046980314
194,,,,,,,,3.649396582785424,657.9006581247914
195,,,,,,,,3.650586129642308,661.2573115515515
196,,,,,,,,3.65177790780072,664.6139649783116
197,,,,,,,,3.652971819700541,667.9706184050717
198,,,,,,,,3.654167768153451,671.3272718318318
199,,,,,,,,3.655365656342921,674.6839252585919
200,,,,,,,,3.656565387824221,678.040578685352
201,,,,,,,,3.657766866524414,681.3972321121121
202,,,,,,,,3.6589699967423597,684.7538855388722
203,,,,,,,,3.6601746831487114,688.1105389656323
204,,,,,,,,3.6613808307859195,691.4671923923923
205,,,,,,,,3.6625883450682277,694.8238458191524
206,,,,,,,,3.663797131781677,698.1804992459125
207,,,,,,,,3.6650070970841018,701.5371526726726
208,,,,,,,,3.6662181475051328,704.8938060994327
209,,,,,,,,3.6674301899461956,708.2504595261929
210,,,,,,,,3.6686431316805113,711.607112952953
211,,,,,,,,3.669856880353096,714.9637663797131
212,,,,,,,,3.671071343980761,718.3204198064732
213,,,,,,,,3.672286430952113,721.6770732332333
214,,,,,,,,3.6735020500275537,725.0337266599934
215,,,,,,,,3.6747181103392808,728.3903800867535
216,,,,,,,,3.675934521391286,731.7470335135135
217,,,,,,,,3.6771511930593572,735.1036869402736
218,,,,,,,,3.6783680355910775,738.4603403670337
219,,,,,,,,3.6795849596058248,741.8169937937938
220,,,,,,,,3.6808018760947725,745.1736472205539
221,,,,,,,,3.6820186964208887,748.530300647314
222,,,,,,,,3.6832353323189384,751.8869540740741
223,,,,,,,,3.6844516958954796,755.2436075008342
224,,,,,,,,3.6856676996288673,758.6002609275943
225,,,,,,,,3.6868832563692506,761.9569143543544
226,,,,,,,,3.6880982793385746,765.3135677811144
227,,,,,,,,3.6893126821305793,768.6702212078745
228,,,,,,,,3.6905263787108002,772.0268746346346
229,,,,,,,,3.6917392834165677,775.3835280613947
230,,,,,,,,3.692951310957007,778.7401814881548
231,,,,,,,,3.6941623764130402,782.0968349149149
232,,,,,,,,3.6953723952373827,785.453488341675
233,,,,,,,,3.6965812832545466,788.8101417684351
234,,,,,,,,3.6977889566608386,792.1667951951952
235,,,,,,,,3.69899533202436,795.5234486219553
236,,,,,,,,3.7002003262850094,798.8801020487153
237,,,,,,,,3.701403856754478,802.2367554754754
238,,,,,,,,3.702605841116254,805.5934089022355
239,,,,,,,,3.703806197425621,808.9500623289956
240,,,,,,,,3.705004844109656,812.3067157557558
241,,,,,,,,3.7062016999672336,815.6633691825159
242,,,,,,,,3.707396684169022,819.020022609276
243,,,,,,,,3.7085897162574852,822.3766760360361
244,,,,,,,,3.7097807161468825,825.7333294627962
245,,,,,,,,3.7109696041232683,829.0899828895563
246,,,,,,,,3.712156300844492,832.4466363163164
247,,,,,,,,3.7133407273401993,835.8032897430764
248,,,,,,,,3.7145228050118293,839.1599431698365
249,,,,,,,,3.7157024556326186,842.5165965965966
250,,,,,,,,3.716879601347597,845.8732500233567
251,,,,,,,,3.7180541646735907,849.2299034501168
252,,,,,,,,3.719226068499221,852.5865568768769
253,,,,,,,,3.7203952360849044,855.943210303637
254,,,,,,,,3.721561591062852,859.2998637303971
255,,,,,,,,3.7227250574370707,862.6565171571572
256,,,,,,,,3.7238855595833633,866.0131705839173
257,,,,,,,,3.7250430222493267,869.3698240106773
258,,,,,,,,3.7261973705543534,872.7264774374374
259,,,,,,,,3.727348529989632,876.0831308641975
260,,,,,,,,3.7284964264181446,879.4397842909576
261,,,,,,,,3.72964098607467,882.7964377177177
262,,,,,,,,3.730782135565782,886.1530911444778
263,,,,,,,,3.7319198018698496,889.5097445712379
264,,,,,,,,3.733053912337036,892.866397997998
265,,,,,,,,3.734184394689301,896.2230514247581
266,,,,,,,,3.7353111770203995,899.5797048515182
267,,,,,,,,3.736434187795881,902.9363582782782
268,,,,,,,,3.737553355853091,906.2930117050383
269,,,,,,,,3.738668610401169,909.6496651317984
